NÚMERO DO TERMO;ANO DO TERMO;CPF/CNPJ;RAZÃO SOCIAL;OBJETO;DATA DA ASSINATURA;DATA DE PUBLICAÇÃO;VIGÊNCIA;SITUAÇÃO
2;2025;0564825700017;BRASIL EDUCAÇÃO S/A (FACULDADE UNA);"Este Convênio tem como objeto a concessão de estágio, obrigatório ou não obrigatório, pelo TRIBUNAL, a estudantes regularmente matriculados e frequentes nos seguintes cursos da INSTITUIÇÃO CONVENIADA.

";22/04/2025;25/04/2025;04/25/2030 00:00:00;Não informada
5;2025;29768219000117;COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS;"Promover a cooperação técnico-científica e institucional entre o TCEMG e a CODEMGE, viabilizando o intercâmbio de experiências, informações, tecnologias e capacitação entre os partícipes, com o objetivo de fortalecer a capacidade técnica, administrativa e gerencial dos municípios do Estado de Minas Gerais para a avaliação, realização, contratação e gestão de projetos de Concessões de Serviços Públicos e Parcerias Público-Privadas (PPPs).
";05/05/2025;07/05/2025;05/04/2027 00:00:00;Não informada
1;2025;60690419000144;Fundação Maria Cecilia Souto Vidigal;Adesão ao Acordo de Cooperação nº 004/2024, celebrado entre a Fundação Maria Cecilia Souto Vidigal (FMCSV) e a Associação dos Membros dos Tribunais de Contas do Brasil (ATRICON), visando a cooperação técnico-científica, disseminação de materiais e intercâmbio de conhecimento sobre a temática da Primeira Infância.;08/05/2025;09/05/2025;01/06/2030 00:00:00;Não informada
0;2025;;Estado de Minas Gerais, por intermédio da Secretaria de Estado da Educação;Constitui objeto deste convênio a cooperação entre os signatários para operacionalizar a cessão de servidores pertencentes ao quadro da Secretaria de Estado de Educação (SEE/MG) para ocuparem cargos em comissão ou função de confiança do quadro de pessoal do Tribunal de Contas do Estado de Minas Gerais, sem ônus para o órgão de origem enquanto ocuparem o referido cargo.;29/04/2025;30/04/2025;12/31/2028 00:00:00;Não informada
2;2025;37161122000170;Associação dos Membros dos Tribunais de Contas do Brasil;Adesão ao Acordo de Cooperação 08/2024 celebrado pelo TCEPI e ATRICON, cujo objeto consiste na cooperação mútua entre as entidades signatárias, com vistas à execução conjunta de fiscalizações coordenadas, em todas as suas etapas, de legalidade ou operacional, incluindo levantamentos e monitoramentos, mediante o intercâmbio de conhecimentos e experiências, visando ao aperfeiçoamento das políticas públicas, especialmente daquelas de elevado impacto econômico e social, e de interesse do sistema Tribunais de Contas.;14/05/2025;15/05/2025;10/05/2026 00:00:00;Não informada
1;2025;0844650300010;IEDUC - INSTITUTO DE EDUCAÇÃO E CULTURA S.A.;Este Convênio tem como objeto a concessão de estágio, obrigatório ou não obrigatório, pelo TRIBUNAL, a estudantes regularmente matriculados e frequentes nos seguintes cursos da INSTITUIÇÃO CONVENIADA.;21/05/2025;22/05/2025;05/21/2030 00:00:00;Não informada
5;2025;21154554000113;TRIBUNAL DE JUSTIÇA DO ESTADO DE MINAS GERAIS;A cooperação técnica entre os convenentes, visando à cessão da servidora do TJMG, Lilian Haas, Analista Judiciário, código PJNS, classe C, especialidade Analista Judiciário, do Quadro de Cargos de Provimento Efetivo do Poder Judiciário, para exercer cargo em comissão no TCEMG.;26/06/2025;27/06/2025;06/30/2026 00:00:00;Não informada
1;2025;19984848000120;ORDEM DOS ADVOGADOS DO BRASIL - SEÇÃO MINAS GERAIS;"
Este Termo tem como objeto a cessão de uso, a título gratuito, de uma sala localizada no piso térreo do Edifício Sede do TRIBUNAL, ora denominada ""Sala da OAB"", com área total de 24 m2 (vinte e quatro metros quadrados).";27/06/2025;01/07/2025;08/20/2030 00:00:00;Não informada
15;2025;05465167000141;Estado de Minas Gerais, por intermédio da Secretaria de Estado de Desenvolvimento Social;Constitui objeto do presente convênio a cessão da servidora Liliane Aparecida da Silva Barros, Masp 381521-4, cargo de Assistente de Gestão e Políticas Públicas - ASGPD, pertencente ao quadro da CEDENTE para exercício das  correspondentes funções junto à entidade cessionária Tribunal de Contas do Estado de Minas Gerais - TCE/MG.;16/07/2025;17/07/2025;01/01/2030 00:00:00;Não informada
6;2025;58723800000110;Instituto Rui Barbosa;O presente Acordo tem por objeto estabelecer colaboração entre os PARTÍCIPES para a realização do 2º Encontro Nacional da Primeira Infância, de 27 a 29 de agosto de 2025, visando o planejamento de ações em conjunto, o compartilhamento da infraestrutura disponível de cada partícipe necessária ao evento.;23/07/2025;24/07/2025;09/30/2025 00:00:00;Não informada
